City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,mahebourg,75,MU,1558378503,74,-20.41,57.7,78.8,11.41
4,cape town,20,ZA,1558378755,76,-33.93,18.42,55.99,8.05
5,atuona,78,PF,1558378755,76,-9.8,-139.03,81.96,16.49
6,flinders,0,AU,1558378755,62,-34.58,150.85,60.01,11.41
7,opuwo,0,,1558378523,23,-18.06,13.84,72.06,5.44
11,castro,0,CL,1558378756,70,-42.48,-73.76,48.2,9.17
12,avarua,100,CK,1558378756,94,-21.21,-159.78,71.6,2.24
17,ushuaia,75,AR,1558378606,75,-54.81,-68.31,44.6,36.91
18,bambous virieux,75,MU,1558378758,74,-20.34,57.76,78.8,11.41
21,busselton,84,AU,1558378758,63,-33.64,115.35,55.0,12.86
23,maragogi,97,BR,1558378610,69,-9.01,-35.22,83.94,9.42
27,punta arenas,40,CL,1558378759,61,-53.16,-70.91,50.0,46.08
28,rikitea,95,PF,1558378669,76,-23.12,-134.97,74.58,12.82
29,new norfolk,40,AU,1558378759,66,-42.78,147.06,57.99,5.82
30,gobabis,0,,1558378567,24,-22.45,18.97,68.0,2.24
39,mayor pablo lagerenza,43,PY,1558378761,33,-19.93,-60.77,91.86,14.9
40,hermanus,9,ZA,1558378761,74,-34.42,19.24,55.0,23.78
43,kruisfontein,92,ZA,1558378762,69,-34.0,24.73,55.68,16.53
44,puerto ayora,26,EC,1558378762,86,-0.74,-90.35,79.0,5.99
46,beloha,100,MG,1558378762,85,-25.17,45.06,70.08,10.0
48,port alfred,67,ZA,1558378763,69,-33.59,26.89,61.0,8.01
51,mar del plata,5,AR,1558378763,33,-46.43,-67.52,50.1,18.52
54,tiarei,20,PF,1558378764,70,-17.53,-149.33,84.2,10.29
56,pisco,0,PE,1558378764,30,-13.71,-76.2,75.99,11.41
70,ponta do sol,0,BR,1558378767,57,-20.63,-46.0,73.68,5.32
76,pontes e lacerda,41,BR,1558378768,41,-15.23,-59.33,88.44,3.71
80,raglan,99,NZ,1558378769,53,-37.8,174.87,48.99,1.99
81,jamestown,84,AU,1558378769,52,-33.21,138.6,54.78,5.86
84,emerald,0,AU,1558378770,82,-23.53,148.16,60.8,6.93
85,launceston,40,AU,1558378770,93,-41.43,147.14,55.0,14.99
87,ambilobe,2,MG,1558378770,92,-13.19,49.05,74.76,4.52
88,cidreira,0,BR,1558378770,66,-30.17,-50.22,76.56,5.5
90,tarauaca,48,BR,1558378771,47,-8.16,-70.77,90.06,1.43
91,bella vista,62,AR,1558378771,80,-28.51,-59.05,75.66,7.29
96,mataura,58,NZ,1558378772,88,-46.19,168.86,48.0,1.99
99,barrow,100,AR,1558378772,59,-38.31,-60.23,59.64,13.38
100,sorong,95,ID,1558378773,93,-0.86,131.25,77.28,2.01
104,mbigou,70,GA,1558378773,94,-1.9,11.91,72.6,1.63
112,bredasdorp,0,ZA,1558378775,62,-34.53,20.04,55.0,8.05
114,koumac,0,NC,1558378775,68,-20.56,164.28,74.4,12.86
115,faanui,61,PF,1558378775,74,-16.48,-151.75,82.86,11.59
117,east london,20,ZA,1558378775,72,-33.02,27.91,60.8,27.51
120,chuy,96,UY,1558378776,91,-33.69,-53.46,65.58,13.78
124,san felipe,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
125,arraial do cabo,0,BR,1558378491,78,-22.97,-42.02,84.2,4.7
126,margate,40,AU,1558378778,66,-43.03,147.26,57.99,5.82
129,paita,0,PE,1558378778,290,-5.09,-81.11,62.6,17.22
135,kibaya,75,RW,1558378779,88,-2.2,30.56,66.2,3.36
138,morondava,0,MG,1558378780,69,-20.3,44.28,79.08,9.06
145,comodoro rivadavia,0,AR,1558378608,37,-45.87,-67.48,55.4,16.11
153,porto novo,20,BR,1558378783,53,-23.68,-45.44,77.0,4.7
161,sao joao da barra,40,BR,1558378785,55,-21.64,-41.05,86.0,3.36
172,antsohihy,100,MG,1558378786,74,-14.88,47.99,80.7,5.35
173,kavieng,100,PG,1558378787,75,-2.57,150.8,82.86,3.76
184,burnie,76,AU,1558378789,87,-41.05,145.91,53.01,5.99
185,kaitangata,16,NZ,1558378789,67,-46.28,169.85,52.0,10.0
189,bluff,1,AU,1558378790,89,-23.58,149.07,61.08,11.83
192,port hedland,0,AU,1558378791,51,-20.31,118.58,62.6,6.93
193,hithadhoo,100,MV,1558378650,75,-0.6,73.08,84.12,11.3
195,codrington,90,AU,1558378791,93,-28.95,153.24,60.8,5.82
