City,Temperature,Latitude,City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
dikson,14.29,73.51,66.0,12.0,RU,1558378766.0,85.0,73.51,80.55,20.22,12.15
hermanus,67.39,-34.42,40.0,9.0,ZA,1558378761.0,74.0,-34.42,19.24,55.0,23.78
mataura,57.99,-46.19,96.0,58.0,NZ,1558378772.0,88.0,-46.19,168.86,48.0,1.99
bambous virieux,77.49,-20.34,18.0,75.0,MU,1558378758.0,74.0,-20.34,57.76,78.8,11.41
rikitea,77.04,-23.12,28.0,95.0,PF,1558378669.0,76.0,-23.12,-134.97,74.58,12.82
lorengau,82.27,-2.02,450.0,100.0,PG,1558378869.0,89.0,-2.02,147.27,77.46,1.12
cabo san lucas,73.78,22.89,53.0,5.0,MX,1558378605.0,34.0,22.89,-109.91,91.0,11.41
thompson,24.8,55.74,62.0,75.0,CA,1558378765.0,35.0,55.74,-97.86,57.2,3.36
ushuaia,42.8,-54.8,17.0,75.0,AR,1558378606.0,75.0,-54.81,-68.31,44.6,36.91
busselton,69.96,-33.65,21.0,84.0,AU,1558378758.0,63.0,-33.64,115.35,55.0,12.86
sioux lookout,35.28,50.1,437.0,40.0,CA,1558378879.0,44.0,50.1,-91.92,59.0,6.93
chokurdakh,27.21,70.63,179.0,0.0,RU,1558378788.0,89.0,70.62,147.9,7.08,5.99
ketchikan,47.5,55.34,102.0,1.0,US,1558378684.0,76.0,55.34,-131.65,55.4,17.22
avarua,84.2,-21.21,12.0,100.0,CK,1558378756.0,94.0,-21.21,-159.78,71.6,2.24
coquimbo,64.4,-29.95,197.0,75.0,CL,1558378792.0,59.0,-29.95,-71.34,64.4,5.82
upernavik,20.88,72.79,309.0,0.0,GL,1558378846.0,85.0,72.79,-56.15,29.22,11.59
east london,74.39,-33.02,117.0,20.0,ZA,1558378775.0,72.0,-33.02,27.91,60.8,27.51
cape town,64.2,-33.93,4.0,20.0,ZA,1558378755.0,76.0,-33.93,18.42,55.99,8.05
hilo,74.7,19.73,106.0,40.0,US,1558378755.0,69.0,19.71,-155.08,79.0,4.7
iqaluit,23,63.75,136.0,90.0,CA,1558378780.0,86.0,63.75,-68.52,33.8,6.93
yellowknife,17.73,62.46,42.0,75.0,CA,1558378762.0,26.0,62.45,-114.38,55.4,8.05
puerto ayora,81.57,-0.74,44.0,26.0,EC,1558378762.0,86.0,-0.74,-90.35,79.0,5.99
vaini,78.8,-21.2,139.0,0.0,IN,1558378780.0,88.0,15.34,74.49,78.9,1.59
beringovskiy,11.26,63.05,194.0,58.0,RU,1558378791.0,90.0,63.05,179.32,27.42,6.2
codrington,53.02,-38.27,195.0,90.0,AU,1558378791.0,93.0,-28.95,153.24,60.8,5.82
meulaboh,80.24,4.14,430.0,100.0,ID,1558378877.0,81.0,4.14,96.13,81.6,5.88
markova,36.86,48.68,263.0,0.0,RU,1558378835.0,49.0,52.21,104.21,46.4,6.71
kapaa,77.14,22.08,103.0,20.0,US,1558378773.0,74.0,22.08,-159.32,80.6,10.29
georgetown,81.16,5.41,140.0,75.0,GY,1558378612.0,83.0,6.8,-58.16,82.4,11.41
katsuura,48.02,35.13,97.0,90.0,JP,1558378772.0,93.0,33.93,134.5,66.2,5.82
butaritari,83.98,3.07,72.0,55.0,KI,1558378767.0,77.0,3.07,172.79,83.94,9.13
bethel,51.53,41.37,35.0,20.0,US,1558378760.0,71.0,60.79,-161.76,51.8,4.68
cherskiy,13.78,68.75,384.0,100.0,RU,1558378863.0,96.0,68.75,161.3,24.0,7.16
kodiak,41,57.79,50.0,1.0,US,1558378763.0,63.0,39.95,-94.76,53.01,8.05
chuy,65.95,-33.7,120.0,96.0,UY,1558378776.0,91.0,-33.69,-53.46,65.58,13.78
arraial do cabo,71.6,-22.97,125.0,0.0,BR,1558378491.0,78.0,-22.97,-42.02,84.2,4.7
airai,60.13,-8.93,310.0,35.0,TL,1558378846.0,73.0,-8.93,125.41,75.12,7.2
tuatapere,57.99,-46.13,397.0,71.0,NZ,1558378871.0,88.0,-46.13,167.69,48.0,1.99
port elizabeth,62.6,-33.92,47.0,20.0,US,1558378762.0,46.0,39.31,-74.98,93.0,12.75
bonavista,36,48.65,529.0,59.0,CA,1558378895.0,74.0,48.65,-53.11,44.01,15.99
