City,Temperature,Latitude
dikson,14.29,73.51
hermanus,67.39,-34.42
mataura,57.99,-46.19
bambous virieux,77.49,-20.34
taolanaro,NAN,NAN
rikitea,77.04,-23.12
lorengau,82.27,-2.02
cabo san lucas,73.78,22.89
tambura,70.95,5.6
thompson,24.8,55.74
ushuaia,42.8,-54.8
busselton,69.96,-33.65
sioux lookout,35.28,50.1
chokurdakh,27.21,70.63
ketchikan,47.5,55.34
cestas,59.47,44.74
avarua,84.2,-21.21
karratha,81.37,-20.74
coquimbo,64.4,-29.95
upernavik,20.88,72.79
east london,74.39,-33.02
cape town,64.2,-33.93
barentsburg,NAN,NAN
koupela,90.68,12.18
hilo,74.7,19.73
iqaluit,23,63.75
yellowknife,17.73,62.46
the valley,84.49,18.22
puerto ayora,81.57,-0.74
vaini,78.8,-21.2
beringovskiy,11.26,63.05
codrington,53.02,-38.27
khulo,44.73,41.64
meulaboh,80.24,4.14
markova,36.86,48.68
tabiauea,NAN,NAN
igarka,35.67,67.47
kapaa,77.14,22.08
georgetown,81.16,5.41
katsuura,48.02,35.13
butaritari,83.98,3.07
walajabad,NAN,NAN
bethel,51.53,41.37
yatou,44.31,37.15
cherskiy,13.78,68.75
kodiak,41,57.79
chuy,65.95,-33.7
arraial do cabo,71.6,-22.97
airai,60.13,-8.93
tuatapere,57.99,-46.13
port elizabeth,62.6,-33.92
buzmeyin,53.6,38.05
bonavista,36,48.65
hithadhoo,84.56,-0.6
touros,82.4,-5.2
haines junction,33.39,60.75
belaya gora,22.91,68.53
ambilobe,73.67,-13.2
bela,82.74,25.93
hobart,49.55,-42.88
santo angelo,73,-28.3
yaring,81.23,6.87
kununurra,77,-15.77
parabel,30.43,58.7
razdolinsk,27.25,58.42
coos bay,56.82,43.37
keshabpur,74.93,22.92
mitsamiouli,83.77,-11.38
waddan,67.15,29.16
carnarvon,75.2,-24.87
tasiilaq,30.2,65.61
gejiu,52.39,23.31
bismil,48.2,37.85
albany,45.18,42.6
rocha,65.37,-34.48
jahanabad,78.8,25.22
mys shmidta,NAN,NAN
saint-philippe,68.54,-21.36
viedma,62.69,-40.81
college,40.19,64.86
havelock,62.37,34.88
new norfolk,49.08,-42.78
seinajoki,26.31,62.79
leningradskiy,12.81,69.38
bengkulu,78.55,-3.8
illoqqortoormiut,NAN,NAN
namatanai,82.02,-3.67
bredasdorp,71.33,-34.53
sao joao da barra,71.6,-21.64
necochea,66.99,-38.55
souillac,77.47,-20.52
amderma,NAN,NAN
punta arenas,48.09,-53.15
launceston,44.96,-41.45
atuona,82.8,-9.8
san pedro,81.46,14.35
nikolskoye,29.14,59.7
linhares,74.93,-19.39
henties bay,73,-22.12
longyearbyen,-5.8,78.22
fortuna,55.92,40.6
nizhneyansk,NAN,NAN
